BTOT,yr,RELI,wkt,WT1,WT2,WT3,WT4,WT5,WT6
67,2014,68102502,POINT(8.511608 47.397642),2,16,14,4,5,4
163,2014,68352517,POINT(8.545001 47.410819),3,34,47,18,1,0
25,2014,68472481,POINT(8.560217 47.37829),1,0,1,3,2,6
165,2014,68332488,POINT(8.541811 47.384764),34,23,21,28,3,0
81,2014,68252437,POINT(8.530278 47.338998),3,9,15,12,1,0
13,2014,68202463,POINT(8.524139 47.362444),0,9,0,0,0,1
182,2014,68242486,POINT(8.529857 47.383079),14,18,42,21,2,3
101,2014,68192515,POINT(8.523767 47.409222),4,15,23,15,3,1
29,2014,68722456,POINT(8.59283 47.355481),4,7,8,3,0,0
83,2014,68292496,POINT(8.536663 47.392009),47,17,1,2,1,3
124,2014,68422508,POINT(8.554105 47.402636),35,23,21,3,2,0
109,2014,68352476,POINT(8.544236 47.373947),5,10,20,23,9,0
23,2014,67972500,POINT(8.494354 47.396001),0,1,0,1,4,1
48,2014,68042466,POINT(8.503015 47.365339),0,0,3,7,3,0
57,2014,68752460,POINT(8.596879 47.359038),0,0,28,8,0,0
108,2014,68142467,POINT(8.51627 47.366115),3,9,6,27,0,0
47,2014,68242452,POINT(8.529231 47.352501),7,12,8,5,4,5
85,2014,68352495,POINT(8.54459 47.391034),3,8,21,15,0,1
216,2014,68482518,POINT(8.562243 47.411552),0,0,39,42,0,0
103,2014,68482455,POINT(8.561049 47.354895),19,8,13,9,4,5
150,2014,67952491,POINT(8.491545 47.387932),7,8,18,0,0,0
204,2014,67902494,POINT(8.484977 47.39069),5,12,81,13,1,0
124,2014,68512515,POINT(8.56616 47.408816),0,30,15,17,2,0
8,2014,68712497,POINT(8.592305 47.392367),0,0,0,0,2,1
3,2014,68112462,POINT(8.512208 47.361656),0,0,1,0,0,0
3,2014,68372475,POINT(8.546865 47.373022),0,0,1,2,0,0
10,2014,68212476,POINT(8.525701 47.374123),0,2,3,3,0,0
20,2014,67992505,POINT(8.497092 47.400474),0,2,3,2,1,1
76,2014,68452476,POINT(8.557475 47.373819),2,10,5,12,7,4
41,2014,68132457,POINT(8.514765 47.357134),0,3,5,4,3,2
103,2014,67962505,POINT(8.493119 47.40051),10,10,21,19,4,0
73,2014,68352469,POINT(8.544105 47.367651),20,21,11,1,3,0
62,2014,67942510,POINT(8.490558 47.405031),4,9,8,11,5,0
46,2014,68382494,POINT(8.548544 47.390097),1,9,7,7,4,2
32,2014,68162469,POINT(8.518954 47.367889),3,10,13,0,0,0
103,2014,68222521,POINT(8.527852 47.41458),0,3,19,18,6,1
74,2014,68012484,POINT(8.499366 47.381564),0,0,11,10,9,2
84,2014,67902486,POINT(8.484836 47.383495),2,21,22,12,1,0
43,2014,68662448,POINT(8.584735 47.348365),2,3,2,5,4,5
8,2014,67872474,POINT(8.480652 47.372739),1,0,1,3,0,0
43,2014,68272462,POINT(8.533386 47.361457),0,10,13,6,0,0
3,2014,67922483,POINT(8.487431 47.380773),0,0,0,0,1,0
106,2014,68032463,POINT(8.501637 47.362653),0,3,10,16,5,0
61,2014,68592443,POINT(8.575376 47.34396),0,3,14,8,7,0
52,2014,68582441,POINT(8.574015 47.342174),3,0,13,11,4,1
67,2014,68522522,POINT(8.567618 47.415098),7,0,16,10,0,0
130,2014,68402511,POINT(8.551512 47.40536),11,32,29,10,7,1
119,2014,67852494,POINT(8.478355 47.39075),0,14,32,3,0,0
53,2014,68522465,POINT(8.566533 47.363836),1,6,8,14,0,5
53,2014,68482480,POINT(8.561522 47.377378),0,3,2,15,5,5
25,2014,68212443,POINT(8.525096 47.344444),0,1,1,3,0,6
84,2014,68362506,POINT(8.54612 47.400914),0,1,2,9,4,0
168,2014,68042474,POINT(8.503158 47.372534),0,4,30,33,1,0
89,2014,68222446,POINT(8.526474 47.34713),0,0,6,0,0,0
46,2014,68472456,POINT(8.559744 47.355807),2,5,2,8,2,2
33,2014,68592444,POINT(8.575396 47.344859),1,0,5,3,5,4
141,2014,68462512,POINT(8.559479 47.406182),0,5,19,30,2,2
64,2014,68282501,POINT(8.535431 47.396518),0,11,14,11,0,0
218,2014,68362482,POINT(8.545672 47.37933),36,24,11,41,11,4
148,2014,68232444,POINT(8.527761 47.345319),3,8,16,8,2,1
28,2014,68502475,POINT(8.564075 47.372856),3,1,1,1,1,7
121,2014,68642509,POINT(8.583266 47.403251),4,10,30,12,0,0
185,2014,68362491,POINT(8.54584 47.387424),1,28,24,22,6,0
40,2014,68022484,POINT(8.50069 47.381551),0,2,16,4,1,0
30,2014,68502450,POINT(8.563601 47.350372),0,2,4,6,2,2
252,2014,67922479,POINT(8.48736 47.377176),1,6,49,37,0,0
17,2014,68482509,POINT(8.562072 47.403459),0,2,2,0,2,2
227,2014,68152470,POINT(8.517648 47.368801),42,51,78,14,1,0
126,2014,68342472,POINT(8.542837 47.370362),33,42,16,11,3,0
41,2014,68492519,POINT(8.563587 47.412439),0,0,0,15,0,0
11,2014,68202456,POINT(8.524011 47.356148),0,6,1,0,1,0
73,2014,68232519,POINT(8.52914 47.412769),3,11,10,9,6,0
3,2014,68512455,POINT(8.565019 47.354856),0,0,3,0,1,0
77,2014,68362489,POINT(8.545802 47.385625),9,14,15,8,0,4
51,2014,68312527,POINT(8.539888 47.419863),0,6,20,5,1,1
101,2014,68282491,POINT(8.535246 47.387525),6,14,36,10,0,0
3,2014,68652476,POINT(8.583953 47.37356),0,0,0,1,0,0
37,2014,68092459,POINT(8.509507 47.358982),0,1,3,7,0,0
79,2014,67942506,POINT(8.490487 47.401434),3,2,4,6,6,2
169,2014,68542521,POINT(8.570249 47.414173),0,0,12,24,3,0
4,2014,68442518,POINT(8.556943 47.411604),0,0,0,2,0,0
12,2014,68102478,POINT(8.511174 47.376057),0,3,4,1,0,0
138,2014,68292490,POINT(8.536552 47.386613),59,22,20,11,5,0
14,2014,68242503,POINT(8.53017 47.398367),0,1,1,0,1,1
71,2014,68302516,POINT(8.538358 47.409983),6,24,15,5,4,1
160,2014,68142499,POINT(8.516852 47.394894),0,14,18,6,0,0
66,2014,68042503,POINT(8.503679 47.398614),9,11,12,8,4,1
42,2014,68362498,POINT(8.545971 47.393719),0,0,3,5,5,4
55,2014,68002509,POINT(8.498489 47.404059),2,7,14,11,0,0
85,2014,68422471,POINT(8.553409 47.369361),11,8,14,5,12,7
37,2014,68682506,POINT(8.588506 47.4005),8,0,8,8,0,0
55,2014,68372487,POINT(8.547089 47.383814),3,8,21,7,5,4
72,2014,68572455,POINT(8.57296 47.354778),8,12,27,1,2,2
95,2014,68302523,POINT(8.538488 47.416278),0,0,14,21,5,0
