BTOT,yr,RELI,wkt,WT1,WT2,WT3,WT4,WT5,WT6
83,2014,67852485,POINT(8.478197 47.382655),0,0,24,15,0,0
72,2014,67872477,POINT(8.480705 47.375437),0,1,8,17,5,1
110,2014,67872485,POINT(8.480846 47.382632),17,38,33,15,0,0
105,2014,67852492,POINT(8.47832 47.388951),3,7,52,3,0,1
114,2014,68052464,POINT(8.504302 47.363528),0,0,0,9,20,0
172,2014,68092472,POINT(8.509742 47.370674),10,59,58,2,0,0
92,2014,68112519,POINT(8.513241 47.412918),0,8,34,9,0,0
155,2014,68112478,POINT(8.512498 47.376045),0,5,55,4,2,0
115,2014,68072520,POINT(8.50796 47.413866),0,24,20,12,0,0
377,2014,68112484,POINT(8.512607 47.381441),0,9,123,5,0,0
116,2014,68022483,POINT(8.500672 47.380652),17,3,10,17,10,2
35,2014,68062517,POINT(8.506581 47.411181),0,0,12,0,4,0
316,2014,68132478,POINT(8.515146 47.37602),33,49,117,26,0,0
306,2014,68132474,POINT(8.515073 47.372423),6,19,131,16,1,3
20,2014,68102459,POINT(8.51083 47.35897),0,1,3,3,1,0
74,2014,68072465,POINT(8.506968 47.364403),0,6,8,11,7,0
74,2014,68032468,POINT(8.501727 47.36715),5,22,24,0,0,1
26,2014,68062460,POINT(8.505554 47.359918),8,16,6,0,0,0
72,2014,68082519,POINT(8.509267 47.412955),29,18,0,1,0,0
41,2014,68072517,POINT(8.507906 47.411168),0,0,8,0,8,0
6,2014,68102496,POINT(8.5115 47.392246),1,0,1,1,0,0
37,2014,68052484,POINT(8.504662 47.381515),0,18,9,0,0,0
65,2014,68042481,POINT(8.503284 47.378829),0,24,16,0,0,0
20,2014,68192442,POINT(8.522431 47.34357),23,0,0,0,0,0
125,2014,68212475,POINT(8.525683 47.373223),13,6,21,26,0,0
236,2014,68212490,POINT(8.525958 47.386713),2,30,72,36,0,0
279,2014,68152457,POINT(8.517412 47.35711),12,11,84,17,15,0
87,2014,68212437,POINT(8.524986 47.339048),0,4,30,13,1,4
87,2014,68152456,POINT(8.517393 47.35621),17,29,6,1,4,2
133,2014,68212456,POINT(8.525334 47.356136),39,6,9,12,6,5
246,2014,68212489,POINT(8.525939 47.385814),29,29,133,4,0,0
8,2014,68152491,POINT(8.518031 47.387687),1,0,0,2,0,0
91,2014,67942472,POINT(8.489884 47.370856),3,11,34,7,0,0
137,2014,67942475,POINT(8.489937 47.373554),0,4,51,17,0,0
45,2014,68012505,POINT(8.499742 47.40045),0,4,11,4,3,2
65,2014,67922472,POINT(8.487236 47.37088),5,6,4,9,4,5
176,2014,68012486,POINT(8.499401 47.383362),8,25,53,10,0,0
50,2014,67912507,POINT(8.486531 47.402369),1,0,4,8,2,6
36,2014,67932486,POINT(8.488808 47.383459),32,0,28,12,0,0
71,2014,67942511,POINT(8.490576 47.40593),2,13,24,7,2,1
219,2014,67962487,POINT(8.492798 47.384322),0,14,41,36,9,10
174,2014,67992474,POINT(8.496539 47.372594),39,41,11,24,4,3
156,2014,67932498,POINT(8.489021 47.394251),7,5,30,1,1,1
28,2014,67932487,POINT(8.488826 47.384358),0,0,6,6,0,0
217,2014,68232480,POINT(8.528422 47.377695),12,19,55,25,1,1
58,2014,68242451,POINT(8.529213 47.351602),1,6,12,12,2,4
121,2014,68272523,POINT(8.534513 47.416316),1,0,8,16,17,1
33,2014,68282431,POINT(8.534137 47.333565),1,1,6,7,1,2
44,2014,68232513,POINT(8.529029 47.407373),0,2,6,13,0,0
97,2014,68262462,POINT(8.532062 47.361469),5,2,13,10,10,9
97,2014,68262463,POINT(8.532081 47.362369),5,20,21,11,4,3
51,2014,68232441,POINT(8.527706 47.342621),2,5,14,7,5,2
47,2014,68222473,POINT(8.52697 47.371412),1,4,9,14,0,0
73,2014,68262471,POINT(8.532228 47.369563),3,9,13,1,8,0
4,2014,68282475,POINT(8.53495 47.373136),0,0,1,3,1,0
51,2014,68282514,POINT(8.535672 47.40821),11,25,2,3,0,0
111,2014,68382488,POINT(8.548432 47.384701),32,3,9,21,3,3
161,2014,68402486,POINT(8.551043 47.382876),3,7,14,27,15,0
30,2014,68412455,POINT(8.551785 47.354984),1,0,0,1,5,4
89,2014,68412456,POINT(8.551803 47.355884),2,9,16,18,2,4
49,2014,68412483,POINT(8.552311 47.380166),0,1,8,8,7,1
140,2014,68412458,POINT(8.551841 47.357682),34,45,24,15,2,0
146,2014,68412462,POINT(8.551916 47.36128),31,33,26,14,4,2
79,2014,68432453,POINT(8.554394 47.35316),10,28,19,7,2,0
216,2014,68452472,POINT(8.557399 47.370222),7,14,54,37,15,0
132,2014,68442459,POINT(8.55583 47.358543),5,19,36,23,7,2
49,2014,68362527,POINT(8.546513 47.4198),2,7,11,2,2,1
211,2014,68392508,POINT(8.550131 47.402674),41,34,49,23,1,1
26,2014,68442474,POINT(8.556113 47.372033),3,6,2,0,4,3
156,2014,68352473,POINT(8.54418 47.371249),31,50,20,21,7,1
162,2014,68352493,POINT(8.544553 47.389235),39,10,34,21,4,0
165,2014,68392487,POINT(8.549738 47.383789),75,13,22,9,5,8
12,2014,68402474,POINT(8.550818 47.372084),0,0,0,0,0,3
126,2014,68432471,POINT(8.554733 47.369348),1,14,21,21,9,6
128,2014,68352490,POINT(8.544497 47.386537),6,4,18,35,7,0
77,2014,68372497,POINT(8.547276 47.392807),0,30,5,0,2,0
82,2014,68422515,POINT(8.554237 47.408931),6,13,39,1,0,0
3,2014,68382472,POINT(8.548133 47.370311),0,2,0,0,0,0
132,2014,68392513,POINT(8.550225 47.407171),52,28,16,7,2,1
3,2014,68432522,POINT(8.555694 47.415214),0,0,0,1,0,0
8,2014,68422524,POINT(8.554407 47.417025),0,0,0,3,1,0
40,2014,68362513,POINT(8.546251 47.407209),2,9,12,3,0,0
100,2014,68462451,POINT(8.558326 47.351323),1,14,27,20,1,0
44,2014,68502519,POINT(8.564911 47.412426),0,0,9,11,0,0
32,2014,68512451,POINT(8.564943 47.351259),0,0,0,1,2,7
62,2014,68552465,POINT(8.570504 47.363798),0,3,7,6,3,8
13,2014,68492451,POINT(8.562296 47.351284),0,2,0,0,0,2
3,2014,68482447,POINT(8.560897 47.3477),0,0,0,1,0,0
22,2014,68492476,POINT(8.56277 47.373768),0,0,1,2,3,9
33,2014,68542467,POINT(8.569218 47.365609),0,0,1,3,6,4
54,2014,68312434,POINT(8.538161 47.336225),2,11,10,2,1,1
108,2014,68332494,POINT(8.541923 47.39016),6,10,18,10,6,5
56,2014,68332510,POINT(8.542221 47.404549),6,0,9,10,5,3
144,2014,68342515,POINT(8.543639 47.409033),4,33,36,15,3,0
3,2014,68312476,POINT(8.53894 47.373997),0,2,1,1,0,0
38,2014,68322492,POINT(8.540561 47.388374),1,4,2,10,0,1
14,2014,68332433,POINT(8.540788 47.3353),0,0,1,3,1,0
177,2014,68342475,POINT(8.542893 47.37306),7,39,38,21,4,0
32,2014,68332474,POINT(8.541551 47.372173),6,14,4,0,2,0
14,2014,68342498,POINT(8.543322 47.393745),1,0,3,1,1,0
26,2014,68322512,POINT(8.540933 47.406361),0,0,1,7,0,1
24,2014,68332432,POINT(8.54077 47.334401),4,7,4,3,0,0
60,2014,68332516,POINT(8.542333 47.409945),11,15,16,10,1,0
56,2014,68282513,POINT(8.535653 47.40731),1,3,9,14,1,0
16,2014,68292465,POINT(8.536089 47.36413),1,1,7,2,3,4
64,2014,68332431,POINT(8.540751 47.333502),0,4,6,11,4,3
24,2014,68292441,POINT(8.535644 47.342545),1,2,1,10,0,0
3,2014,68312470,POINT(8.538829 47.368601),0,0,0,1,0,0
3,2014,68302436,POINT(8.536875 47.338036),0,1,1,0,0,0
3,2014,68342528,POINT(8.543881 47.420725),0,0,0,1,0,0
96,2014,68602511,POINT(8.578006 47.405102),5,19,24,8,1,1
30,2014,68642457,POINT(8.582262 47.356486),0,1,3,3,0,8
173,2014,68612511,POINT(8.579331 47.405089),5,16,46,7,5,1
9,2014,68622452,POINT(8.579519 47.352015),0,0,0,3,1,0
121,2014,68642506,POINT(8.583208 47.400553),36,11,31,7,0,0
20,2014,68652447,POINT(8.583393 47.347479),14,6,0,2,0,4
59,2014,68662486,POINT(8.58547 47.38254),0,0,9,9,3,0
212,2014,68672508,POINT(8.587221 47.402312),0,29,45,22,0,0
3,2014,68582454,POINT(8.574264 47.353866),4,4,2,0,0,0
45,2014,68772461,POINT(8.599545 47.359911),0,0,5,3,11,3
38,2014,68822481,POINT(8.606557 47.377831),0,3,3,6,6,0
59,2014,68692507,POINT(8.58985 47.401386),0,0,21,11,0,0
53,2014,68742487,POINT(8.596082 47.383334),0,0,4,12,7,1
11,2014,68702465,POINT(8.590358 47.363601),0,0,1,2,1,3
59,2014,68702460,POINT(8.590261 47.359105),1,7,8,14,4,3
33,2014,68722457,POINT(8.59285 47.35638),0,3,4,4,5,2
4,2014,68752482,POINT(8.597309 47.378824),0,0,0,0,0,1
116,2014,68732456,POINT(8.594154 47.355468),28,28,7,0,0,0
29,2014,67862491,POINT(8.479627 47.38804),0,0,6,9,0,0
179,2014,67882490,POINT(8.482258 47.387116),0,58,37,15,2,2
59,2014,67892476,POINT(8.483335 47.374514),0,7,7,6,3,1
111,2014,67842487,POINT(8.476908 47.384466),4,2,6,3,0,1
106,2014,68072456,POINT(8.506806 47.356309),0,0,6,23,2,0
327,2014,68082486,POINT(8.50867 47.383277),6,44,94,18,0,0
67,2014,68082457,POINT(8.508147 47.357196),0,0,4,18,0,0
286,2014,68112471,POINT(8.512371 47.36975),29,41,77,15,0,0
78,2014,68042460,POINT(8.502907 47.359943),0,0,46,1,1,0
17,2014,68112453,POINT(8.512045 47.353562),0,0,2,6,0,0
105,2014,68102474,POINT(8.511102 47.37246),0,23,50,1,0,0
325,2014,68132480,POINT(8.515182 47.377819),2,24,43,45,1,1
123,2014,68042482,POINT(8.503302 47.379728),1,43,44,0,0,0
158,2014,68132484,POINT(8.515255 47.381417),4,26,54,17,0,0
5,2014,68052497,POINT(8.504896 47.393206),0,1,0,1,0,0
111,2014,68132482,POINT(8.515219 47.379618),0,6,20,18,4,0
13,2014,68122456,POINT(8.513423 47.356247),0,3,3,3,0,0
3,2014,68122457,POINT(8.513441 47.357147),0,0,0,0,1,0
34,2014,68202502,POINT(8.524853 47.397518),0,2,4,7,2,1
257,2014,68202488,POINT(8.524597 47.384927),10,16,69,24,0,8
80,2014,68202447,POINT(8.523846 47.348054),5,20,13,21,0,0
97,2014,68212452,POINT(8.525261 47.352538),0,5,18,18,1,0
130,2014,68192490,POINT(8.523309 47.386738),0,31,23,14,1,1
204,2014,68192469,POINT(8.522925 47.367852),9,12,46,10,0,0
50,2014,68202512,POINT(8.525037 47.406511),2,6,14,7,1,0
76,2014,68202479,POINT(8.524432 47.376833),10,7,16,8,2,1
36,2014,68142462,POINT(8.516179 47.361619),3,12,6,1,0,0
244,2014,68182460,POINT(8.521437 47.35977),27,79,35,18,4,1
128,2014,68212515,POINT(8.526417 47.409197),33,23,22,9,5,1
127,2014,68182477,POINT(8.521747 47.375059),2,31,30,12,0,0
61,2014,68202498,POINT(8.52478 47.39392),2,8,16,0,0,0
22,2014,68172434,POINT(8.519639 47.3364),0,1,8,7,0,0
158,2014,68202486,POINT(8.52456 47.383128),14,2,12,29,15,0
31,2014,68192460,POINT(8.52276 47.359758),0,0,10,5,0,0
3,2014,68172502,POINT(8.52088 47.397555),0,0,0,0,1,0
78,2014,67952508,POINT(8.491847 47.40322),0,10,10,14,9,2
135,2014,67972470,POINT(8.49382 47.369021),0,13,46,13,0,0
126,2014,67982507,POINT(8.495804 47.402285),5,28,31,13,3,1
168,2014,67992487,POINT(8.496771 47.384286),8,23,16,12,15,4
164,2014,68022462,POINT(8.500296 47.361766),4,28,30,20,3,0
99,2014,68002463,POINT(8.497666 47.362689),3,20,12,10,7,7
162,2014,67922488,POINT(8.487519 47.38527),6,37,33,11,4,0
83,2014,67942493,POINT(8.490257 47.389742),0,3,36,9,0,0
99,2014,67952490,POINT(8.491528 47.387032),16,11,21,6,1,1
102,2014,67912480,POINT(8.486054 47.378087),0,0,0,0,0,0
3,2014,67952484,POINT(8.491421 47.381636),0,1,0,0,0,0
44,2014,67922484,POINT(8.487449 47.381672),0,16,16,0,0,0
20,2014,67932467,POINT(8.488472 47.366371),2,0,1,2,4,0
68,2014,67912484,POINT(8.486124 47.381684),3,5,14,10,0,0
70,2014,67942509,POINT(8.490541 47.404132),2,13,13,8,4,0
13,2014,67942489,POINT(8.490186 47.386145),3,3,4,0,0,0
171,2014,68012468,POINT(8.499079 47.367174),6,0,12,23,20,6
172,2014,68222481,POINT(8.527117 47.378607),49,20,44,23,1,1
97,2014,68242454,POINT(8.529268 47.3543),0,9,17,16,8,1
244,2014,68252518,POINT(8.531771 47.411845),1,6,18,38,10,7
96,2014,68252436,POINT(8.53026 47.338099),0,22,17,15,0,0
137,2014,68272492,POINT(8.53394 47.388437),11,27,40,9,1,0
75,2014,68222440,POINT(8.526364 47.341734),2,2,16,18,2,3
102,2014,68222467,POINT(8.52686 47.366016),2,6,9,10,17,1
406,2014,68232487,POINT(8.528551 47.38399),87,40,92,33,6,0
110,2014,68232522,POINT(8.529195 47.415467),3,2,24,16,10,0
256,2014,68232478,POINT(8.528385 47.375896),38,26,50,30,7,3
172,2014,68242434,POINT(8.5289 47.336313),0,14,46,20,8,2
114,2014,68252513,POINT(8.531679 47.407348),0,1,37,12,0,2
84,2014,68262444,POINT(8.53173 47.345281),19,17,22,5,2,4
167,2014,68222455,POINT(8.526639 47.355224),2,13,53,15,1,1
64,2014,68252446,POINT(8.530444 47.347092),2,3,10,11,5,2
45,2014,68262461,POINT(8.532044 47.36057),0,0,12,12,3,1
33,2014,68252448,POINT(8.530481 47.348891),0,0,9,9,0,0
143,2014,68362509,POINT(8.546176 47.403612),16,19,14,19,8,2
39,2014,68402528,POINT(8.551832 47.420648),0,4,10,6,1,0
48,2014,68402516,POINT(8.551606 47.409856),0,0,0,11,1,2
49,2014,68422509,POINT(8.554124 47.403536),1,1,11,2,4,2
38,2014,68362499,POINT(8.545989 47.394619),2,2,7,1,0,8
89,2014,68422470,POINT(8.55339 47.368462),10,3,5,13,14,1
110,2014,68422483,POINT(8.553635 47.380153),3,3,15,35,6,7
126,2014,68452469,POINT(8.557343 47.367524),6,48,39,7,1,0
3,2014,68382497,POINT(8.548601 47.392795),0,0,1,0,0,0
66,2014,68382508,POINT(8.548807 47.402687),1,16,20,10,2,1
58,2014,68432474,POINT(8.554789 47.372046),4,6,2,8,6,1
83,2014,68352500,POINT(8.544684 47.395531),43,12,6,7,4,0
70,2014,68412506,POINT(8.552743 47.40085),0,5,37,3,0,0
68,2014,68352472,POINT(8.544161 47.370349),7,16,13,3,4,3
4,2014,68392457,POINT(8.549175 47.356808),0,1,0,0,0,2
8,2014,68362500,POINT(8.546008 47.395518),0,0,4,0,0,0
33,2014,68452478,POINT(8.557512 47.375618),4,0,7,1,7,1
150,2014,68452509,POINT(8.558098 47.403497),11,17,40,19,0,0
94,2014,68452511,POINT(8.558136 47.405296),1,6,19,13,2,2
10,2014,68452489,POINT(8.55772 47.385511),0,0,0,6,0,1
151,2014,68462460,POINT(8.558496 47.359417),21,44,36,8,2,3
124,2014,68462468,POINT(8.558647 47.366612),8,31,35,9,0,0
98,2014,68472511,POINT(8.560785 47.40527),4,17,33,7,2,0
91,2014,68482471,POINT(8.561352 47.369284),9,9,24,17,3,1
71,2014,68522511,POINT(8.567409 47.405206),16,7,22,8,2,1
25,2014,68462478,POINT(8.558836 47.375605),0,2,1,3,1,5
10,2014,68482487,POINT(8.561655 47.383673),0,0,0,0,0,3
47,2014,68502477,POINT(8.564113 47.374654),1,1,2,8,4,2
10,2014,68532468,POINT(8.567914 47.366521),0,0,0,0,0,0
54,2014,68522509,POINT(8.567371 47.403407),1,11,8,8,1,1
41,2014,68532440,POINT(8.56738 47.34134),2,2,1,3,4,4
28,2014,68542523,POINT(8.570287 47.415972),0,0,6,4,0,0
10,2014,68482479,POINT(8.561503 47.376479),0,0,2,2,0,2
47,2014,68492452,POINT(8.562315 47.352184),0,6,5,4,6,7
58,2014,68572447,POINT(8.572807 47.347584),0,12,9,3,0,7
19,2014,68522483,POINT(8.566875 47.380024),0,0,2,2,1,5
16,2014,68532439,POINT(8.567361 47.340441),0,2,5,0,2,0
10,2014,68572463,POINT(8.573113 47.361973),0,0,1,0,2,2
3,2014,68502456,POINT(8.563715 47.355768),1,0,0,0,0,1
34,2014,68312526,POINT(8.539869 47.418964),0,3,10,7,0,1
127,2014,68332524,POINT(8.542482 47.41714),51,44,11,4,0,1
186,2014,68342490,POINT(8.543173 47.38655),22,17,34,38,8,0
139,2014,68332506,POINT(8.542146 47.400952),4,38,44,11,0,0
75,2014,68342513,POINT(8.543602 47.407235),5,26,14,10,0,1
18,2014,68312506,POINT(8.539497 47.400977),0,0,6,6,0,0
57,2014,68292431,POINT(8.535459 47.333552),0,0,19,9,0,1
115,2014,68302488,POINT(8.537839 47.384802),8,13,35,16,2,0
21,2014,68322509,POINT(8.540878 47.403663),0,0,1,0,1,7
61,2014,68312508,POINT(8.539534 47.402776),3,3,2,8,4,2
42,2014,68602451,POINT(8.576853 47.351142),0,0,0,0,0,0
136,2014,68612509,POINT(8.579292 47.40329),0,20,58,0,3,0
72,2014,68612458,POINT(8.578311 47.357424),0,4,9,22,1,2
179,2014,68642507,POINT(8.583227 47.401452),0,17,42,23,0,0
77,2014,68642462,POINT(8.582359 47.360982),0,6,9,15,2,2
73,2014,68642461,POINT(8.582339 47.360083),0,9,16,16,1,3
27,2014,68652458,POINT(8.583605 47.357372),0,2,3,5,5,4
89,2014,68602509,POINT(8.577968 47.403303),0,5,36,4,0,0
70,2014,68622507,POINT(8.580578 47.401478),1,26,6,5,4,0
29,2014,68622510,POINT(8.580636 47.404176),0,0,6,4,0,0
14,2014,68582456,POINT(8.574302 47.355665),6,0,5,0,0,0
10,2014,68602521,POINT(8.578198 47.414095),0,0,0,2,0,1
39,2014,68772460,POINT(8.599526 47.359012),2,2,5,7,6,0
92,2014,68772457,POINT(8.599467 47.356314),19,0,4,11,10,0
33,2014,68732465,POINT(8.594329 47.363562),0,0,0,0,5,10
166,2014,68692461,POINT(8.588957 47.360017),8,40,22,25,3,5
67,2014,68762485,POINT(8.598692 47.381508),5,9,5,8,5,3
87,2014,68692458,POINT(8.588899 47.357319),0,12,25,9,5,0
47,2014,68762489,POINT(8.59877 47.385106),0,0,4,6,1,4
11,2014,68742453,POINT(8.595419 47.352756),0,1,1,1,2,0
4,2014,68762495,POINT(8.598887 47.390502),0,0,0,0,0,1
45,2014,68732461,POINT(8.594251 47.359964),3,14,9,4,0,0
4,2014,68702486,POINT(8.590766 47.382487),0,0,0,0,1,1
3,2014,68692454,POINT(8.588821 47.353722),0,0,0,0,0,1
3,2014,68772497,POINT(8.600251 47.392287),0,0,0,0,1,0
155,2014,67902492,POINT(8.484942 47.388891),10,8,26,34,1,2
4,2014,67902490,POINT(8.484906 47.387092),0,0,0,0,0,1
24,2014,67852483,POINT(8.478162 47.380857),0,3,3,2,1,3
136,2014,67862487,POINT(8.479557 47.384442),9,14,22,23,2,0
16,2014,67852478,POINT(8.478075 47.37636),0,0,0,0,5,0
21,2014,68042459,POINT(8.502889 47.359043),0,0,0,6,0,0
69,2014,68092453,POINT(8.509398 47.353586),0,0,19,11,1,0
8,2014,68122504,POINT(8.514294 47.399416),0,0,0,1,0,0
3,2014,68062508,POINT(8.506419 47.403087),0,0,0,1,0,0
19,2014,68052499,POINT(8.504932 47.395005),0,0,0,4,0,1
96,2014,68132467,POINT(8.514946 47.366128),6,38,9,9,6,0
116,2014,68132520,POINT(8.515909 47.413793),0,0,12,27,3,1
192,2014,68102523,POINT(8.511989 47.416528),0,10,13,36,7,0
65,2014,68132459,POINT(8.514801 47.358933),2,18,21,11,0,0
3,2014,68132492,POINT(8.5154 47.388611),0,1,0,0,0,0
10,2014,68062485,POINT(8.506004 47.382402),0,0,4,0,0,0
7,2014,68052475,POINT(8.5045 47.373421),0,0,3,3,0,0
84,2014,68142478,POINT(8.51647 47.376008),0,48,15,0,0,0
138,2014,68152483,POINT(8.517885 47.380492),4,18,41,7,0,0
206,2014,68152471,POINT(8.517666 47.3697),8,35,67,25,6,1
225,2014,68162479,POINT(8.519136 47.376883),13,59,84,1,0,0
222,2014,68172472,POINT(8.520332 47.370575),22,34,43,12,4,3
160,2014,68172498,POINT(8.520807 47.393958),21,15,28,29,2,0
108,2014,68172519,POINT(8.521191 47.412844),0,28,12,12,2,0
62,2014,68192441,POINT(8.522413 47.34267),0,0,7,7,8,1
171,2014,68202495,POINT(8.524725 47.391222),0,14,43,21,2,0
165,2014,68212454,POINT(8.525298 47.354337),18,24,32,25,5,3
115,2014,68172462,POINT(8.52015 47.361582),4,35,11,11,1,0
51,2014,68192463,POINT(8.522815 47.362456),6,24,6,0,0,0
50,2014,68202439,POINT(8.5237 47.340859),0,9,3,5,4,2
74,2014,68152461,POINT(8.517484 47.360707),3,4,27,8,0,0
281,2014,68162474,POINT(8.519045 47.372386),96,34,51,27,1,0
106,2014,68202515,POINT(8.525092 47.409209),4,14,32,12,0,0
101,2014,68202459,POINT(8.524066 47.358846),5,6,20,20,3,3
32,2014,68152502,POINT(8.518231 47.39758),2,3,4,8,0,0
127,2014,67922476,POINT(8.487307 47.374478),13,28,28,14,0,0
246,2014,67942480,POINT(8.490026 47.378051),4,20,32,30,17,6
18,2014,67952488,POINT(8.491492 47.385234),0,0,9,0,1,0
124,2014,67962507,POINT(8.493154 47.402309),29,20,34,16,0,1
116,2014,67992475,POINT(8.496557 47.373494),2,12,17,5,22,2
106,2014,67952477,POINT(8.491297 47.375341),3,11,33,2,1,0
3,2014,68012457,POINT(8.498883 47.357281),0,0,0,1,0,0
148,2014,67952476,POINT(8.491279 47.374441),0,18,22,9,0,0
20,2014,67922497,POINT(8.487679 47.393364),0,0,1,0,0,0
116,2014,67982491,POINT(8.495518 47.387895),0,7,48,10,1,0
3,2014,67972483,POINT(8.494051 47.380713),0,0,0,1,0,0
177,2014,68272494,POINT(8.533977 47.390236),21,22,41,17,6,0
82,2014,68282498,POINT(8.535375 47.39382),0,0,1,13,10,7
205,2014,68222472,POINT(8.526951 47.370513),16,21,46,21,4,0
6,2014,68252527,POINT(8.531937 47.419939),0,0,0,2,0,0
32,2014,68262478,POINT(8.532357 47.375859),3,0,1,5,1,0
62,2014,68222518,POINT(8.527797 47.411882),1,11,17,7,3,1
171,2014,68222498,POINT(8.527429 47.393896),8,12,63,21,0,0
157,2014,68252443,POINT(8.530389 47.344394),18,21,30,7,5,0
86,2014,68262449,POINT(8.531822 47.349778),7,29,6,17,1,1
49,2014,68222500,POINT(8.527466 47.395694),0,3,12,7,0,1
63,2014,68242470,POINT(8.529562 47.368689),0,9,11,12,2,1
5,2014,68272449,POINT(8.533146 47.349765),0,0,0,0,0,1
111,2014,68382509,POINT(8.548826 47.403587),9,10,32,8,5,1
84,2014,68412485,POINT(8.552348 47.381964),4,3,25,17,8,0
105,2014,68442468,POINT(8.556 47.366637),5,13,8,19,10,9
139,2014,68362485,POINT(8.545728 47.382028),44,25,21,11,12,2
102,2014,68372508,POINT(8.547482 47.4027),0,7,24,13,3,1
75,2014,68382495,POINT(8.548563 47.390996),6,12,6,4,5,7
130,2014,68402464,POINT(8.55063 47.363091),11,15,40,8,5,0
135,2014,68412463,POINT(8.551935 47.362179),15,40,22,12,7,2
77,2014,68422527,POINT(8.554463 47.419723),1,5,20,2,4,3
111,2014,68422481,POINT(8.553597 47.378354),8,5,20,3,12,7
90,2014,68352481,POINT(8.544329 47.378443),37,11,7,4,1,1
105,2014,68392510,POINT(8.550169 47.404473),3,20,15,22,8,1
128,2014,68462513,POINT(8.559498 47.407082),5,15,10,25,4,2
87,2014,68512467,POINT(8.565247 47.365648),8,6,7,4,2,10
99,2014,68542459,POINT(8.569066 47.358415),12,9,18,9,2,2
58,2014,68562509,POINT(8.572669 47.403355),43,7,5,4,3,0
122,2014,68572456,POINT(8.572979 47.355678),8,12,25,24,4,1
250,2014,68462453,POINT(8.558364 47.353122),12,10,44,25,12,7
70,2014,68462520,POINT(8.559631 47.413377),2,0,8,10,4,11
17,2014,68522477,POINT(8.566761 47.374628),0,0,0,1,0,3
43,2014,68482478,POINT(8.561484 47.375579),1,2,0,6,2,7
130,2014,68512513,POINT(8.566122 47.407017),0,12,37,18,0,0
19,2014,68552482,POINT(8.570828 47.379086),1,3,2,2,2,0
36,2014,68462473,POINT(8.558742 47.371108),1,1,1,9,3,3
87,2014,68472453,POINT(8.559687 47.353109),0,7,11,21,7,2
15,2014,68562438,POINT(8.571311 47.339502),0,1,1,4,2,2
41,2014,68292437,POINT(8.53557 47.338948),0,0,4,10,2,5
168,2014,68302512,POINT(8.538284 47.406386),26,6,38,25,4,0
247,2014,68312497,POINT(8.53933 47.392883),10,19,61,31,5,3
171,2014,68322473,POINT(8.540208 47.371287),27,61,35,26,9,2
122,2014,68322529,POINT(8.54125 47.421649),37,22,22,9,1,1
3,2014,68332468,POINT(8.541439 47.366777),0,2,0,0,0,0
119,2014,68332486,POINT(8.541774 47.382965),42,5,13,30,0,0
161,2014,68342519,POINT(8.543714 47.412631),37,16,44,7,0,0
148,2014,68292497,POINT(8.536681 47.392908),5,1,17,24,5,4
49,2014,68292511,POINT(8.536941 47.405499),6,13,11,4,1,1
176,2014,68302496,POINT(8.537987 47.391997),12,50,32,20,1,1
232,2014,68302494,POINT(8.53795 47.390198),4,44,71,19,1,0
7,2014,68312437,POINT(8.538216 47.338923),0,0,0,1,0,2
40,2014,68342431,POINT(8.542074 47.333489),2,3,10,5,5,0
5,2014,68302478,POINT(8.537653 47.375809),0,0,0,0,0,0
3,2014,68292474,POINT(8.536255 47.372224),0,0,0,0,0,0
53,2014,68592453,POINT(8.575568 47.352954),4,7,16,7,0,0
212,2014,68662512,POINT(8.585973 47.405922),16,40,40,0,0,0
5,2014,68642452,POINT(8.582166 47.351989),0,1,1,1,0,0
170,2014,68582511,POINT(8.575357 47.405128),12,17,31,17,7,0
92,2014,68592452,POINT(8.575549 47.352054),4,3,5,0,1,0
100,2014,68652448,POINT(8.583412 47.348378),29,6,19,12,0,4
66,2014,68782463,POINT(8.600908 47.361696),5,3,11,12,1,0
81,2014,68762458,POINT(8.598163 47.357226),2,2,22,15,4,1
31,2014,68742482,POINT(8.595985 47.378837),1,2,0,4,7,1
30,2014,68742485,POINT(8.596043 47.381535),0,0,5,0,3,4
50,2014,68712504,POINT(8.592441 47.398662),0,0,0,17,0,0
80,2014,68692462,POINT(8.588976 47.360916),0,0,32,12,0,0
11,2014,68742493,POINT(8.5962 47.388729),0,0,0,0,2,1
3,2014,68692497,POINT(8.589656 47.392393),0,0,0,1,0,0
61,2014,67872484,POINT(8.480828 47.381732),1,4,20,5,3,1
202,2014,67892492,POINT(8.483617 47.388903),71,26,34,6,1,1
179,2014,67872487,POINT(8.480881 47.38443),9,22,31,27,0,0
51,2014,68042509,POINT(8.503787 47.40401),0,1,6,10,1,2
142,2014,68052466,POINT(8.504338 47.365327),0,0,16,26,0,0
104,2014,68062481,POINT(8.505932 47.378805),0,5,30,8,0,0
82,2014,68092502,POINT(8.510284 47.397654),2,5,4,15,9,7
215,2014,68112477,POINT(8.51248 47.375146),6,13,63,29,0,0
183,2014,68122471,POINT(8.513695 47.369737),35,34,44,10,3,0
116,2014,68022502,POINT(8.501012 47.397739),20,12,8,15,7,0
23,2014,68032506,POINT(8.502409 47.401325),0,3,1,2,1,3
26,2014,68022510,POINT(8.501156 47.404934),1,3,5,1,1,3
131,2014,68112457,POINT(8.512118 47.357159),0,11,16,23,4,0
